input_text,toxicity,severe_toxicity,obscene,threat,insult,identity_hate,time
"I can't speak to the selection, hours, owners, or resident cat. I can tell you that we noticed an 'honor system' as we walked by tonight with our Mojo. An honor system in this day and age?! Yes please! Friend and I both picked a $1 paperback, shoved our bills under the door, and walked away feeling like winners, a silent invisible transaction between fellow bibliophiles...absolutely lovely!",0.001129,9.8e-05,0.000179,0.000113,0.000197,0.00014,0.000566
"What a menu! My boyfriend loves sushi and I don't eat seafood, so going to these types of restaurants can be quite disappointing. However this place has the most extensive menu I've seen at a Japanese restaurant that is known as a sushi bar. The ambiance in the place is really romantic at night with dim lighting, nice music, and delicate plating. All the little details in the decor, like placing the chopsticks on a polished river rock was beautiful. Their menu offered everything from chicken and beef to lots of seafood. I ordered chicken teriyaki and it was delish. Their sauce tasted homemade and was lighter then most which I loved. It came plated nicely. I also had their tempura which was light and airy as it should be. The dipping sauce, also heavenly. My man seemed to enjoy his sushi and it looked nice as well. Overall it's pricey compared to other sushi places, however the ambiance of the restaurant and upscale choices on the menu make it worth it.",0.001899,0.000109,0.000283,0.000114,0.000209,0.000175,0.000564
"My fiancee and I found this place on-line when we were looking fot sushi in the Central Phoenix area. Neither of us had heard of it but we decided to give it a go. We got there around 8:30 and the place was kindof empty so we were a little nervous. We walked in and were seated at a table by the window. We were seated with dinner menus but not a sushi menu. Ther server said they only give those out at the sushi bar. I thought that was a little wierd but the server was nice and the decor was hip and modern (it was metrosexual according to my fiancee) so we went with it.   We ordered lots and lots of sushi - ika salad, hamachi sashimi ($9), spicy tuna roll ($7), shrimp tempura roll ($7), and the sunshine roll ($11) (spicy salmon with lemon on top). We could not complain about anything! It was all very very good. It tasted fresh, yummy, and hit the spot. The total bill was $47.00 which sounded about right considering how much food we ordered!   We liked the decor, the service, and the food. I noticed they had a lunch menu so I will be taking my co-workers back with me next time!",0.001568,0.000124,0.000351,0.000121,0.000219,0.000172,0.000522
"After eating chocolate covered bacon for desert (yeah, that's really one of the options for desert), I say that I was completely stratified with Beckett's Table. From the moment I called to make a reservation I knew that this restaurant was going to have great staff and service. The staff greeted us at the entrance and give us options for seating. I was VERY pleased with the pricing on the menu especially the wine bottle prices! It's just a matter of time, and I will be back for an evening meal! Speaking from living in the Arcadia area, this is just the restaurant we need in the area--a nice community restaurant with pleasing food! If you are looking for a nice dining experience, this is the place for you!",0.000583,0.000126,0.000178,0.000131,0.000177,0.000145,0.000519
"NO BETTER BREAKFAST IN AZ. From scrambled eggs to their blueberry pancakes. Top end. Yes, you pay for it. But it's special, like Valentines Day. Just pay out and enjoy the treat. Lunch is also nice, especially if you get a seat outside so you can people watch. Great wraps and sandwiches. Haven't tried anything later here yet. But I saw their happy hour specials and it is on my TO DO list.",0.00072,0.000113,0.000183,0.00011,0.000176,0.000141,0.000526
"I'm glad I bought my tickets back in August when the event was first posted.  I'm not sure the organizers knew what an amazing turn out they would have but the event was sold out so tickets were not available at the door.  We arrived at 11:15 (doors opened at 11) and while standing in line to get in there was a staff person checking to make sure we all had tickets and letting people know that if they did not, the event was sold out.   Once inside it was a sea of cupcakes!  Tiny cupcakes that were delicious!  I didn't taste one that I didn't like.  Liberty Market was my fave I think.  Espresso Carmel and Red Velvet!  YUM!!!  Cruelty Free Cakes makes delicious vegan cupcakes too!  I also liked the ones from Cry Baby Ranch. I'm going to have to find them again at the 20th street Farmers Market and Old Town Scottsdale Farmers Market.  And everyone was so nice!    $10 got you all the cupcakes you could eat and water AND milk!!  And it was for two very worthy causes.  Singleton Moms and Safe Haven For Animals.  There were also raffles, a cupcake eating contest and cupcake decorating for the kids.  So many festivals these days charge you to get in and then, once inside, charge for everything else.  People can't afford that these days so it was refreshing to go to an event and not be nickel and dimed for everything.  I appreciate that.  And best of all my daughter had a great time!  There were lots of people so it was a little overwhelming for her but she loved it.  Both of us are just coming down from our sugar high.    It was great to see Gabi and Lindsey manning the Yelp booth and our very own Thomas S. helping with emcee duties!    Will I be back next year?  You bet!!  And you should come too....just make sure you get your tickets early!",0.005435,0.000113,0.000512,0.000148,0.000396,0.000209,0.000533
"My name is Christi and I'm a carb addict. Bread with my pasta. My lover's pizza crust (classy, oui?). Hashbrowns with my French toast.   I've tried to quit, but I can't. And, I've also resigned myself to the life-is-too-short theory, so what the hay, bring on the starch.  I did almost get a salad at Bar Louie's because it was a pretty late dinner and I wanted to save room in my belly for dirty martinis. But, they have an appetizer that I couldn't live without trying - Warm Pretzel sticks. 4 huge soft, warm pretzels covered in salt, served with cheese sauces and honey mustard dip. Simple, yet during my carb withdrawl that night, it was the greatest tasting thing I had ever eaten.   I can vouch for the pretzels, but other than that, the service blew chunks. Over 15 minutes to get shots of jager when we were the only table in our server's section. When people order jager, that means they're on a mission, so give it to them...fast!   We canceled our drinks and left to drink wine in our hotel room. We knew we'd get drinks faster there.   If you're gonna go, go for the pretzels, not for the jager.",0.010567,0.000146,0.000954,0.000191,0.000664,0.000335,0.00053
I did not stay here but went to visit out of town friends who stayed here.  The hotel was definitely not designed for anyone with any type of mobility issue - steps everywhere!  Steps to get ice.  Steps to get to the pool area.  Steps to get to the lobby.  Can you find a way around some of these steps?  Sure - if you don't mind going into the parking lot and circling around the building while cars drive past you.  The rooms seem nice but there is no way on earth I will EVER stay here.  This hotel doesn't seem to have any concern for the disabled whatsoever.,0.002384,9.3e-05,0.000188,0.000123,0.000266,0.00019,0.000527
"Shimogamo has been one of my favorites for a few years now so, i thought it was time to give them a YELP!  Every time I visit I am always greeted by the owner (Yoshi) who happens to be Japanese and runs the restaurant as such. Fish is always fresh and consistently high quality, sushi chefs are friendly and always willing to let you try something new. They also have a nice selection of cold sake's available and some random ones in stock off the menu if you ask the owner.    Atmosphere is very modern/contemporary and in a small suite located next to C-Fu Gourmet. They also have a traditional Japanese seating room in the back that is fun for larger groups etc.. If you are a sushi lover or even a newbie to this style, you will love it!",0.000979,0.00011,0.0002,0.000116,0.000182,0.00015,0.000526
This place is so great! I am a nanny and had to bring in a dance outfit to get the straps shorten for the girl I care for. The woman did this for no charge! It was only the second time I went there. She said it would only take her two minutes so no charge. She was super sweet!,0.005787,0.000107,0.000473,0.000111,0.000403,0.000185,0.000554
"Agree with everyone on here, this is some really good food.  Very laid back un-asuming place inside another strip mall on Bell Road.  Ah what treasures lie hidden in a strip mall....  We were greeted by a friendly young man who took our order right away, I ordered, well I don't quite remember the name,  but it was steak pieces with french fries and onions, and rice.  I was fooled by the mild salsa that came with the chips and said, ""hey can you make my dish spicy?""  The server said no problem, and while the dish was very fresh, my mouth was on fire, and I touched  my eye and it was like pepper spray or something.  I love hot food, I can eat Los Dos Molinos Abogado ribs for example with little problem, but this stuff kicked my butt!!  It had little red peppers in it that I have never experienced before. HOT!!  I kept remembering Deb's review:""....this is not Mexican food...."".  No kidding, next time I will get it milder.  My eye burns still.....  Wife got a milder flat pan steak dish with lentils and rice.  She praised its freshness.  We also split a red beef tamale (they were only like $2) so it was just a sample but decent.  They only have 6 tables in there!  And they had to change their name due to copyright infringement from a restaurant  in Texas according to the young man.  Either way, we will be back for sure.  Good stuff!!  Something tells me there is more burn to come, perhaps tomorrow if you know what I mean?  Beware!  They can really spice it up if you ask them too.  I met my match at Mi Comida....  Fresh ingredients, nice people, and a nice change from Mexican food.  Recommended!  Don't touch your eyes if you touched those little red pepper things, that is for sure!!",0.066042,0.000617,0.024782,0.000646,0.005084,0.001502,0.000517
"Typical dumpy yet fairly clean little sports bar in a strip mall setting. Get your tires changed next door at Discount Tire and grab a few heinekins while you wait. Beware though, they call it coppers because it is owned and frequented by Cops and for some reason there are a lot of people missing limbs that frequent the place.?. hum. ho.",0.077252,0.00021,0.005043,0.000259,0.003714,0.000559,0.000508
"The price and pho was awesome. The waiter was great with helping me figure out what to get. Tried #11, loved the beef tendon and tender meat but not a fan of the meatballs (there was a tiny bone in mine). I am a spoiled NYC bahn mi eater so the bahn mi wasn't my favorite (I thought the meat was too fatty) but the boyfriend liked the BBQ pork bahn mi. I also love the do it yourself take home containers, homemade hot sauce, and I even heard they will refill your broth. Bring an appetite, even with the normal size I was stuffed!",0.009183,0.000118,0.000626,0.000177,0.000595,0.00028,0.000502
Scuzy waiter. Scuzy manager. Overall just a bad experience. The food was pretty awful too. I don't understand how this place is so successful! The food was either waaaay over-seasoned of severely under-seasoned. A hole in the wall Chinese restaurant can produce better Chinese food. And at cheaper prices. Search around. It'll be well worth it.,0.003134,9.2e-05,0.000268,0.000105,0.000264,0.000191,0.000524
"Planet Sub is definitely a good option for solid, good tasting subs. I'm next door at Gangplank a couple times a week and we usually hit this place up for lunch. It's much better than the last place that was in this spot, has tons of options (we decided you could eat lunch there for a month and not have the same sandwich), and friendly staff. I'm definitely glad they put this in. It's a great option in the downtown Chandler area.",0.000542,0.000133,0.000193,0.000134,0.000177,0.000146,0.000518
I've been really impressed with John Skiba and his professionalism. He is always up to date on everything in bankruptcy law and I've enjoyed reading his blog posts. It really shows his expertise and passion for what he does. Hopefully I will never need his services but if I ever were to need an Arizona bankruptcy attorney I would go to him first for sure.,0.000528,0.000138,0.000195,0.000147,0.000177,0.000146,0.000643
"I always have fun here.  I went here on new years this year and had a good time.  I did see the most pathetic lesbian here. She wore her make up and dressed just ike the Shane Character in the LWord.  Al I could think was, WOW what a loser. and I wish I was that skinny  Do you have no personality that you wear a costume everyday.!!  So I was with my girlfriend in line and we were holding each other. She walked away for five seconds and asked my girlfriend for her number. My girlfriend totally dissed her. I walked up and you could see the fear in her eye. She just kept saying  Sorry, Sorry, Sorry.  Well anyway aside from that I like this place.  But dont go in the bathroom unless you have to. There are always tranny's doing coke or k in the womens bathroom.  Make sure and use a tissue to lock and unlock the stall",0.246599,0.000963,0.014194,0.000989,0.024423,0.018839,0.000903
"Perhaps it was foolish for me to give La Condesa only four stars at first, given the fact that I really liked it.  What can I say?  I'm critical by nature.  I knew I was going back soon, so I felt like I had to save the last for a return visit.  Well, it just got it.  This place is fantastic.  In fact, if CenPho lets this one go under, I will personally hold all of you responsible; watch out for a citizen's arrest if I ever see you.  However, that is unlikely to happen, because the food is damn tasty.    Today, the Oaxaca black mole chicken taco had me swooning, topped with pickled onions; the chicken is tender and simmered in the lovely sauce.  The Soronan carne asada taco, char-grilled over mesquite charcoal is no slouch either; I'd rate it right up there with some of my favorites in town.    Go to this place; I have a feeling I'll be here at least weekly.  When and if they ever get a beer/liquor license...probably more.",0.016904,0.000147,0.001215,0.000334,0.000907,0.000403,0.000731
